ENTITETI;DOB;TV;TM;T100M;Vmax(km/h)
Adeniken Olapade;19;186;78;10,33;40,91
Akani Simbine;24;176;74;10,01;42,86
Asafa Powell;27;190;93;9,84;42,86
Ato Boldon;24;176;75;9,9;41,38
Ben Johnson;27;177;75;9,79;43,37
Bingtian Su;28;172;70;10,27;42,35
Bruny Surin ;32;180;86;9,71;42,35
Carl Lewis;30;188;80;9,86;43,37
Christian Coleman;21;175;72;9,94;41,86
Churandy Martina;23;178;74;10,08;42,35
Dennis Mitchell;25;175;70;9,91;41,86
Derrick Atkins;23;185;88;9,91;42,35
Donovan Bailey;30;178;79;9,77;42,35
Dwain Chambers;21;180;83;9,83;42,35
Frankie Fredericks;30;180;73;9,82;41,86
Jason Gardener;24;175;70;9,93;41,38
Jimmy Vicaut;25;188;83;10,08;41,38
Justin Gatlin;35;185;80;9,92;41,86
Kareem Streete Thompson;26;183;91;10,07;40,91
Kovacs Attila;28;180;72;10,31;40,45
Leroy Burrell;24;183;82;9,88;42,35
Linford Christie;28;188;84;9,97;42,86
Mardi Mardi;20;166;63;10,39;40,45
Marlon Devonish;31;180;72;10,14;41,38
Maurice Greene;25;176;80;9,67;42,86
Myles Mills John;22;180;68;10,43;40
Nunez Juan;29;178;73;10,35;40,45
Obadele Thompson;23;175;67;9,86;41,86
Reece Prescod;21;191;83;10,17;41,86
Silva Arnaldo;24;174;71;10,32;40,45
Silva Robson;24;187;74;10,11;41,38
Smith Calvin;27;178;69;9,99;42,35
Stewart Raymond;23;178;73;10,18;40,91
Tayson Gay;27;180;75;9,71;43,9
Tim Harden ;25;178;77;9,88;41,86
Tim Montgomery;22;178;73;9,8;41,86
Usain Bolt;23;195;94;9,58;44,44
Williams Desai;29;175;72;10,11;41,86
Yohan Blake;28;180;80;9,99;41,38
