ENTITETI;SPOL;KM_ISHOD;KM_OCJENA
1;Musko;Polozio;2-Dovoljan
2;Musko;Nije  polozio;1-Nedovoljan
3;Zensko;Nije  polozio;1-Nedovoljan
4;Musko;Nije  polozio;1-Nedovoljan
5;Zensko;Polozio;5-Odlican
6;Musko;Nije  polozio;1-Nedovoljan
7;Zensko;Nije  polozio;1-Nedovoljan
8;Zensko;Polozio;2-Dovoljan
9;Musko;Polozio;2-Dovoljan
10;Musko;Nije  polozio;1-Nedovoljan
11;Musko;Polozio;5-Odlican
12;Musko;Polozio;3-Dobar
13;Zensko;Nije  polozio;1-Nedovoljan
14;Musko;Polozio;2-Dovoljan
15;Zensko;Nije  polozio;1-Nedovoljan
16;Zensko;Nije  polozio;1-Nedovoljan
17;Zensko;Nije  polozio;1-Nedovoljan
18;Zensko;Polozio;4-Vrlo dobar
19;Zensko;Nije  polozio;1-Nedovoljan
20;Musko;Nije  polozio;1-Nedovoljan
21;Zensko;Nije  polozio;1-Nedovoljan
22;Musko;Nije  polozio;1-Nedovoljan
23;Zensko;Polozio;3-Dobar
24;Musko;Polozio;2-Dovoljan
25;Musko;Nije  polozio;1-Nedovoljan
26;Musko;Polozio;2-Dovoljan
27;Musko;Polozio;4-Vrlo dobar
28;Musko;Nije  polozio;1-Nedovoljan
29;Musko;Nije  polozio;1-Nedovoljan
30;Musko;Nije  polozio;1-Nedovoljan
31;Musko;Nije  polozio;1-Nedovoljan
32;Musko;Polozio;3-Dobar
33;Musko;Nije  polozio;1-Nedovoljan
34;Zensko;Nije  polozio;1-Nedovoljan
35;Musko;Polozio;2-Dovoljan
36;Zensko;Polozio;2-Dovoljan
37;Musko;Nije  polozio;1-Nedovoljan
38;Musko;Nije  polozio;1-Nedovoljan
39;Musko;Nije  polozio;1-Nedovoljan
40;Musko;Nije  polozio;1-Nedovoljan
