ENTITETI;SPOL;MSDM;MCMJ;MCMJH;MTSDN20M;MBSDN20M;MTSLN20M;MBSLN20M;MVS;MTN;MTR;MBMG;MBML;MPRK;MPTR
1;M;130;16,03;19,57;13,68;37;13,75;36;19;17,67;22,33;3,92;5,87;11,67;10
2;M;181,67;26,5;33,37;8,09;18,5;8,03;20;35,67;21,33;28,33;5;7,87;16,33;13
3;M;88;13,07;14,77;18,61;49;20,16;50;18,33;15;21,67;4,4;6,4;6,33;7
4;M;166,67;16,33;30,7;11,31;26;12,38;29;27,67;20,33;28;6,53;8,58;17,67;13
5;M;167,67;18,3;24,07;12,06;28;12;27;28;18,67;27,67;4,68;8,65;10,67;11
6;M;157,67;22;25,3;12,84;31;11,21;25;25;16,33;21,33;4,4;5,98;10,67;2
7;M;157;21,87;26,5;9,53;23;9;20;28,67;19,67;22,67;4,62;8,73;15,33;13
8;M;142,33;17,27;21,4;12,31;29;11,96;26;20,33;17,67;24,33;5,42;7,08;12,67;11
9;M;163,67;15,07;17,17;8,65;21;9,25;22;27;19,67;22,33;4,53;5,17;17,33;11
10;M;151,67;26,37;25,63;7,84;18;8,57;20;32,67;19;25,67;5,87;7,47;13,67;13
11;M;154;28,57;27,03;9,37;21;9,06;21;34;19,33;25,33;3,27;7,93;12,67;13
12;M;146,67;14,47;18,4;17,5;43;14,95;34;18,67;17;25,33;4,23;4,77;5,33;10
13;M;113,67;14,17;15,73;22,53;52;23,22;47;23,67;17,33;27,67;3,93;4,13;7,67;10
14;M;136,67;18,5;20,4;13,2;33;12,84;32;32;15,67;25;5,5;8,5;19;12
15;M;124,67;22,8;29,07;12,96;31;12,18;32;31,67;17,33;28,33;5,37;5,77;7,67;12
16;M;114;19,83;23,17;12,46;32;11,34;29;27,33;18,67;28;3,93;6,57;1,33;13
17;M;128,33;20,67;23,83;13,31;32;15,93;34;22,33;17,33;24,67;3,83;4,33;24,67;10
18;M;126,67;15,77;19,83;10,65;28;9,96;27;22,67;17,67;27,67;5,37;7,27;5;12
19;M;132;14,57;17,3;14,5;35;13,71;31;17,67;19,67;28,67;4,17;5,17;4;12
20;M;132,33;21,6;24,67;14;32;10,9;24;32,67;16,67;27,67;4,07;7,57;11,67;10
21;M;146;20,57;27,43;16,5;35;14,68;32;27,33;12,67;23;5,07;6,07;13,67;10
22;M;157;21,33;23,07;10,96;23;11,15;23;29,33;19,33;25;6,2;6,83;11,67;12
23;M;152,67;16,3;20,73;15,06;35;13,45;29;25,67;17,33;25,67;5,47;8,9;20,67;12
24;M;163,33;22,33;27,33;8,84;20;8,37;15;32;18,67;27,67;7,13;9,2;16,33;15
25;M;100,67;17,87;21,1;12,63;27;12,65;28;25,33;15;20,33;4,45;6,75;5,83;12
26;M;188;20,07;21,37;9,53;25;8,09;20;31,67;20,67;25;4,88;7,17;24,83;15
27;M;139,33;18,13;19,27;12,98;32;10,82;25;24,67;20;28,33;6,37;7,97;20,67;12
28;M;157;28,13;30,57;9,63;22;9,93;24;33,67;21;26,67;4,67;8,18;13;14
29;M;150,33;24,97;24,87;8,96;19;9,75;21;31,33;18,33;24,67;4,28;5,58;13;14
30;M;152,67;18,17;26,87;10,87;28;10,78;25;31,67;20;26,33;6,33;7,23;12;14
31;M;152;20,93;24,33;17,28;25;10,72;23;30,67;18,33;26;5,27;6,77;15,83;12
32;M;140,33;17,37;21,4;9,28;22;18,75;24;27,33;19,67;26,67;6,45;8,08;11,33;12
33;M;123,33;15,8;21,13;8,81;22;12,5;29;26,33;17,67;25,33;4,33;7,4;8,67;11
34;M;142,33;21,33;25,13;11,48;27;10,42;23;26,67;19,67;22,33;5,02;7,27;16;13
35;M;121,67;11,57;16,47;13,62;29;13,15;26;23;19;23,67;3,97;7,47;18,17;10
36;M;161;17,17;24,63;11,79;25;12,46;25;30;18,33;23,67;5,65;7,32;16,83;15
37;M;137,67;15,63;17,5;10,83;30;13,65;40;25,33;14;19,67;4,68;6,2;11,67;9
38;M;141,67;21,13;25,6;11,75;28;13,71;31;33,33;16,67;19,67;5,47;8,3;17,67;14
39;M;171,67;28,37;32,07;10,37;20;11,31;26;32,67;20;22,67;5,67;8,33;11;18
40;M;141,33;20,93;20,17;12,09;29;12,62;32;20,67;18,67;26,33;3,87;5,53;22,33;14
41;M;145;24,67;26,4;10,9;25;10,87;25;25;18,67;24;4,5;7,17;22;13
42;M;141,33;21,5;26,67;10,41;24;11,88;26;31,33;19;23,33;4,98;6,8;25,67;11
43;M;140,67;16,87;22,93;10,63;26;13,3;31;23,67;19,33;24;4,47;6,83;18,67;13
44;M;150,33;22,1;26,8;10,34;23;11,98;27;30;18,67;22,67;3,43;5,97;8;12
45;M;116,33;19,77;21,43;13,4;34;17,79;41;25,33;17,67;21,67;4,45;6,23;14;12
46;M;150;21,27;24,07;14,03;34;13,75;34;22,67;16,67;24;3,1;6,23;13,33;12
47;M;146;24,07;24,8;11,37;27;10;25;29;17,33;23,33;3,37;5,33;16;12
48;M;149,33;22,2;29;11;27;10,81;26;28,33;17,33;25,67;5;6;16,67;15
49;M;120,67;17,43;19,73;13,75;34;17,65;40;16;16;19,33;4,3;5;8,67;12
50;M;129,67;20,93;19,27;12,81;30;14,53;35;23,67;15,33;23,67;3,28;6,67;16,33;10
51;M;119,33;20,83;13,33;13;32;20,78;44;20;13,67;23,67;3,38;4,9;11,67;12
52;M;152,67;22,37;20,93;14,06;36;11,18;27;22;17,67;25,33;4,03;6,53;14;12
