ENTITETI;LIGA;UTAKMICA;EKIPA;PN1;PN2;VN1;VN2;IN1;IN2;BD;TN;VZA;IU
1;EURO;BAR-MAC;Barcelona;OL;OL-PL;PN;PN-CC;NEU;NEU-NS3-ZPL;4;13;BOT;POBJEDA
2;EURO;BAR-MAC;Barcelona;OL;OL-SN-SI;PN;PN-CC;NEG;NEG-NS3-IPL;3;16;BOT;POBJEDA
3;EURO;BAR-MAC;Maccabi;OL;OL-SO-SI;PN;PN-CC;NEG;NEG-NS2-IPL;2;21;LEPK;PORAZ
4;EURO;BAR-MAC;Barcelona;OL;OL-SO-SI;PN;PN-CC;NEG;NEG-NS2-IPL;3;14;OT;POBJEDA
5;EURO;BAR-MAC;Maccabi;OL;OL-SO-SI;PN;PN-CC;NEG;NEG-NS3-IPL;2;21;OA;PORAZ
6;EURO;BAR-MAC;Barcelona;OL;OL-SO-SI;TN;TN-P;NEG;NEG-NS2-IPL;1;6;TRA;POBJEDA
7;EURO;BAR-MAC;Maccabi;OL;OL-UL;TN;TN-P;POZ;POZ-US2;1;4;TRA;PORAZ
8;EURO;BAR-MAC;Barcelona;UL;UL-CL-PO;PN;PN-CC;NEU;NEU-IOP-NN;3;13;OA;POBJEDA
9;EURO;BAR-MAC;Barcelona;UL;UL-BL-PN;PN;PN-ZO;POZ;POZ-US3;3;6;OT;POBJEDA
10;EURO;BAR-MAC;Maccabi;UL;UL-CL-PO;PN;PN-ZO;NEG;NEG-NS3-IPL;6;23;LIPK;PORAZ
11;EURO;BAR-MAC;Barcelona;OL;OL-SO-SI;PN;PN-ZO;NEU;NEU-IOP-NN;4;10;LEPK;POBJEDA
12;EURO;BAR-MAC;Barcelona;UL;UL-BL-PN;PN;PN-ZO;NEU;NEU-NS2-ZPL;3;5;BOT;POBJEDA
13;EURO;BAR-MAC;Barcelona;OL;OL-SN-SI;ON;ON;POZ;POZ-US2;0;2;SSN;POBJEDA
14;EURO;BAR-MAC;Maccabi;UL;UL-CL-PO;PN;PN-CC;POZ;POZ-US2;3;11;LEPK;PORAZ
15;EURO;BAR-MAC;Barcelona;UL;UL-CL-PO;PN;PN-CC;NEU;NEU-NS2-ZPL;7;21;LEPK;POBJEDA
16;EURO;BAR-MAC;Barcelona;OL;OL-SN-SI;PN;PN-CC;NEG;NEG-NS2-IPL;2;6;LEPK;POBJEDA
17;EURO;BAR-MAC;Maccabi;OL;OL-SO-SI;PN;PN-CC;NEG;NEG-NS2-IPL;4;16;LEPK;PORAZ
18;EURO;BAR-MAC;Barcelona;OL;OL-SO-SI;PN;PN-CC;NEU;NEU-NS3-ZPL;4;20;LIPK;POBJEDA
19;EURO;BAR-MAC;Barcelona;OL;OL-SN-SI;ON;ON;POZ;POZ-US2;0;2;SSN;POBJEDA
20;EURO;BAR-MAC;Maccabi;UL;UL-CL-PO;PN;PN-CC;POZ;POZ-IOP-3/3;3;15;LEPK;PORAZ
21;EURO;BAR-MAC;Barcelona;UL;UL-CL-PO;TN;TN-S;POZ;POZ-US3;2;7;TRA;POBJEDA
22;EURO;BAR-MAC;Maccabi;UL;UL-CL-PO;PN;PN-CC;NEG;NEG-OPN;2;8;P&R;PORAZ
23;EURO;BAR-MAC;Barcelona;UL;UL-BL-PO;PN;PN-CC;POZ;POZ-US3;9;21;BOT;POBJEDA
24;EURO;BAR-MAC;Maccabi;UL;UL-CL-PO;PN;PN-CC;NEG;NEG-IPL-LI;3;15;OA;PORAZ
25;EURO;BAR-MAC;Barcelona;OL;OL-UL;TN;TN-P;NEU;NEU-NS2-ZPL;1;4;TRA;POBJEDA
26;EURO;BAR-MAC;Barcelona;OL;OL-SN-SI;ON;ON;POZ;POZ-US2;5;11;P&R;POBJEDA
27;EURO;BAR-MAC;Maccabi;UL;UL-CL-PO;PN;PN-CC;NEU;NEU-IOP-NN;3;15;LEPK;PORAZ
28;EURO;BAR-MAC;Maccabi;UL;UL-CL-PN;PN;PN-CC;NEG;NEG-IPL-LI;5;12;OA;PORAZ
29;EURO;BAR-MAC;Barcelona;OL;OL-UL;TN;TN-P;POZ;POZ-US2;1;5;TRA;POBJEDA
30;EURO;BAR-MAC;Maccabi;UL;UL-CL-PO;PN;PN-CC;NEG;NEG-NS3-IPL;5;24;UR;PORAZ
31;EURO;BAR-MAC;Barcelona;OL;OL-SO-SI;PN;PN-CC;NEG;NEG-IPL-LI;4;14;P&R;POBJEDA
32;EURO;BAR-MAC;Maccabi;OL;OL-UL;ON;ON;NEU;NEU-IOP-NN;1;2;OA;PORAZ
33;EURO;BAR-MAC;Maccabi;UL;UL-BL-PN;PN;PN-CC;POZ;POZ-US2;4;11;OT;PORAZ
34;EURO;BAR-MAC;Barcelona;UL;UL-CL-PO;PN;PN-CC;POZ;POZ-US2;4;15;OT;POBJEDA
35;EURO;BAR-MAC;Maccabi;UL;UL-CL-PO;PN;PN-CC;POZ;POZ-US2;2;19;P&R;PORAZ
36;EURO;BAR-MAC;Barcelona;UL;UL-CL-PO;TN;TN-R;NEG;NEG-NS3-IPL;2;11;P&R;POBJEDA
37;EURO;BAR-MAC;Maccabi;OL;OL-SO-SI;PN;PN-CC;NEG;NEG-IPL-LI;1;8;OA;PORAZ
38;EURO;BAR-MAC;Barcelona;OL;OL-UL;TN;TN-P;POZ;POZ-US2;2;5;TRA;POBJEDA
39;EURO;BAR-MAC;Maccabi;UL;UL-CL-PO;PN;PN-CC;POZ;POZ-US2-US-SL;5;16;LIPK;PORAZ
40;EURO;BAR-MAC;Barcelona;UL;UL-CL-PO;PN;PN-CC;NEG;NEG-NS3-IPL;11;22;BOT;POBJEDA
41;EURO;BAR-MAC;Maccabi;OL;OL-SO-SI;PN;PN-CC;POZ;POZ-US2;4;24;OT;PORAZ
42;EURO;BAR-MAC;Maccabi;UL;UL-BL-SI;PN;PN-CC;POZ;POZ-US2;3;10;OT;PORAZ
43;EURO;BAR-MAC;Barcelona;UL;UL-CL-PO;PN;PN-CC;POZ;POZ-IOP-2/2;2;14;LIPK;POBJEDA
44;EURO;BAR-MAC;Maccabi;UL;UL-CL-PO;ON;ON;NEU;NEU-IOP-NN;1;3;OA;PORAZ
45;EURO;BAR-MAC;Maccabi;UL;UL-BL-PN;PN;PN-CC;NEU;NEU-NS2-ZPL;5;21;OA;PORAZ
46;EURO;BAR-MAC;Maccabi;OL;OL-SN-SI;ON;ON;POZ;POZ-US2;0;1;SSN;PORAZ
47;EURO;BAR-MAC;Barcelona;UL;UL-CL-PO;PN;PN-CC;POZ;POZ-US2-NE-SL-IPL;3;19;P&R;POBJEDA
48;EURO;BAR-MAC;Maccabi;OL;OL-SO-SL;PN;PN-CC;POZ;POZ-US2;5;14;LIPK;PORAZ
49;EURO;BAR-MAC;Barcelona;UL;UL-CL-PO;ON;ON;POZ;POZ-IOP-2/2;2;7;LEPK;POBJEDA
50;EURO;BAR-MAC;Maccabi;UL;UL-CL-PO;PN;PN-CC;POZ;POZ-US3;2;14;P&P;PORAZ
51;EURO;BAR-MAC;Barcelona;UL;UL-CL-PO;PN;PN-ZO;NEU;NEU-IOP-NN;5;14;OT;POBJEDA
52;EURO;BAR-MAC;Barcelona;UL;UL-BL-PN;PN;PN-CC;NEG;NEG-NS3-IPL;3;22;BOT;POBJEDA
53;EURO;BAR-MAC;Maccabi;OL;OL-SO-SI;PN;PN-CC;POZ;POZ-IOP-2/2;2;14;P&R;PORAZ
54;EURO;BAR-MAC;Barcelona;UL;UL-CL-PO;PN;PN-ZO;NEG;NEG-IPL-LI;8;20;OA;POBJEDA
55;EURO;BAR-MAC;Maccabi;OL;OL-UL;PN;PN-CC;NEG;NEG-NS3-IPL;7;21;OT;PORAZ
56;EURO;BAR-MAC;Barcelona;UL;UL-BL-PO;PN;PN-CC;NEG;NEG-NS2-IPL;4;17;LEPK;POBJEDA
57;EURO;BAR-MAC;Maccabi;OL;OL-SO-SI;TN;TN-R;NEU;NEU-NS3-ZPL;0;11;LIPK;PORAZ
58;EURO;BAR-MAC;Maccabi;OL;OL-SN-SI;ON;ON;POZ;POZ-IOP-1/2-ZU;0;1;SSN;PORAZ
59;EURO;BAR-MAC;Barcelona;UL;UL-CL-PO;TN;TN-S;NEG;NEG-NS3-IPL;3;8;TRA;POBJEDA
60;EURO;BAR-MAC;Maccabi;OL;OL-SO-SI;PN;PN-CC;POZ;POZ-IOP-2/2;3;19;OT;PORAZ
61;EURO;BAR-MAC;Barcelona;UL;UL-CL-PO;TN;TN-R;POZ;POZ-US3;3;13;P&R;POBJEDA
