ENTITETI;SPOL;MSDM1;MSDM2;MSDM3;MVS1;MVS2;MVS3;MTN1;MTN2;MTN3;MTR1;MTR2;MTR3;MBML1;MBML2 ;MBML3;MPRK1;MPRK2;MPRK3
1;Z;139;136;138;24;25;25;17;19;18;23;27;25;5,6;4,7;5,4;11;13;13
2;Z;147;154;152;23;25;24;18;18;17;21;24;23;5,6;5,6;5,4;15;14;14
3;Z;145;139;145;22;24;23;19;19;17;24;28;28;5,1;4,5;5;19;20;20
4;Z;105;110;110;25;25;24;16;18;16;25;26;26;6;6,5;6,4;13;12;13
5;Z;124;139;135;20;24;23;18;18;17;25;28;27;5,2;7,6;7;26;26;26
6;Z;119;135;135;18;16;18;17;18;16;20;24;23;5,7;3;5,5;21;22;22
7;Z;145;130;140;22;24;24;17;19;18;20;24;24;5,3;4,6;5,2;7;9;9
8;Z;144;155;150;29;30;30;21;23;22;28;29;28;6,4;6;6,2;15;13;14
9;Z;161;160;160;35;35;34;21;23;22;32;35;24;7,5;6,9;7,4;17;17;16
10;Z;135;130;135;28;28;27;18;19;19;26;30;29;5;5,1;5,1;18;17;18
11;Z;130;145;140;18;18;17;18;20;19;23;25;25;3,5;4,2;4,2;6;10;9
12;Z;80;81;80;23;25;24;19;19;18;23;27;26;3,2;5,3;5,2;15;17;16
13;Z;157;150;155;29;30;30;18;20;20;29;30;30;7,8;7,8;7,5;16;18;18
14;Z;135;156;150;30;35;33;19;22;20;28;32;30;5,8;5,5;5,7;16;16;15
15;Z;157;150;155;23;25;24;17;20;18;26;28;28;4,2;4;4,2;18;21;20
16;Z;122;115;122;24;24;23;19;20;19;22;25;25;5;4,6;4,9;19;19;18
17;Z;127;146;145;26;26;25;17;19;18;26;28;28;5;7,2;7;17;22;22
18;Z;113;117;115;26;26;25;20;21;20;27;28;28;5,4;5,5;5,4;25;30;30
19;Z;129;154;150;25;26;25;20;20;19;23;23;22;7,8;7;7,7;25;27;27
20;Z;115;98;110;25;24;24;20;22;22;26;27;26;4,5;4,75;4,7;19;19;19
21;Z;126;131;130;31;27;30;21;21;20;20;24;24;4,5;5,1;5,1;17;20;20
22;Z;105;129;127;21;25;24;19;19;18;18;22;22;5,1;5,5;5,5;19;18;19
23;Z;131;128;130;25;27;26;20;22;22;20;25;24;4,5;4,9;4,8;12;13;13
24;Z;140;120;130;23;24;24;18;20;20;21;24;23;5;4,75;5;15;16;16
25;Z;135;141;140;24;27;26;17;20;20;23;27;27;7,1;7;7,1;19;21;21
26;Z;120;115;120;24;23;24;18;19;19;25;26;25;6,6;6,9;6,8;12;13;13
27;Z;126;126;120;21;24;23;18;18;17;23;23;23;5,3;5,6;5,4;17;19;19
28;Z;99;108;105;18;19;19;18;18;18;24;26;25;6,3;7;7;10;12;12
29;Z;134;150;150;24;28;27;20;20;19;26;29;29;5,7;5;5,5;20;21;21
30;Z;128;125;125;19;20;20;18;18;17;25;28;27;4;5,6;5,5;16;14;16
31;Z;150;148;150;21;29;27;22;21;22;26;24;26;8;8,25;8;13;15;15
32;Z;110;101;110;22;23;22;18;18;17;23;23;22;4;5;5;16;14;16
33;Z;165;158;164;29;30;30;20;21;21;28;26;26;5,5;6,5;6,5;12;14;14
