ENTITET;DOB;TV;TM;T100M;Vmax(km/h)
1;22;185,5;76,0;12,40;32,43
2;22;190,0;84,5;12,19;33,93
3;23;179,5;75,0;11,97;35,29
4;20;188,0;78,0;12,46;33,03
5;19;182,0;72,0;12,49;34,32
6;20;176,5;88,0;12,46;33,06
7;20;173,0;72,0;12,48;33,93
8;19;176,5;74,5;12,84;31,06
9;21;177,5;73,0;12,62;32,11
10;21;171,5;72,5;12,58;33,06
11;21;185,5;84,5;12,77;31,22
12;20;184,5;70,0;12,55;32,43
13;22;175,5;74,5;12,56;32,17
14;19;182,0;74,0;12,64;32,67
15;20;189,0;68,0;12,78;31,80
16;20;177,5;72,0;12,61;32,49
17;21;168,0;57,0;12,58;32,79
18;23;175,5;74,5;12,55;32,43
19;20;175,0;70,0;12,96;31,66
20;24;173,0;66,0;12,72;31,83
21;22;182,5;71,5;12,79;31,72
22;21;172,0;67,5;12,65;32,32
23;21;189,0;84,5;12,71;32,67
24;21;175,1;66,5;12,87;32,43
25;22;183,5;77,5;12,56;33,15
26;21;179,0;78,0;12,81;32,14
27;20;178,0;72,5;12,76;32,73
28;19;188,5;78,5;12,63;32,67
29;21;190,2;83,8;12,85;31,47
30;22;178,5;81,5;12,63;32,58
31;24;174,0;77,5;12,87;32,26
32;21;192,5;94,5;12,61;33,12
33;21;186,0;82,0;12,98;31,94
34;21;169,0;67,5;12,83;32,09
35;21;174,0;74,0;12,87;31,86
36;20;175,5;72,0;12,69;32,61
37;21;177,0;70,8;12,96;31,50
38;22;189,5;86,0;12,92;31,94
39;21;189,0;81,0;13,00;31,61
40;20;180,5;76,5;12,93;31,55
41;22;180,5;84,0;12,97;31,86
42;20;181,5;71,5;12,77;32,14
43;20;186,5;87,5;12,72;32,97
44;21;193,5;83,5;12,91;31,94
45;19;184,5;77,5;12,70;32,91
46;21;182,5;98,0;12,93;32,97
47;21;183,0;74,5;13,20;30,53
48;20;187,5;87,0;13,03;31,44
49;22;178,0;73,0;13,07;31,97
50;21;177,0;64,5;13,22;31,22
51;20;192,5;74,5;13,00;31,97
52;21;182,9;76,7;13,08;31,01
53;24;182,0;70,0;13,15;30,66
54;22;193,0;84,5;13,36;30,80
55;21;182,5;83,5;13,01;31,86
56;20;180,5;76,5;13,35;30,56
57;22;179,0;70,0;13,05;31,33
58;20;175,0;86,0;13,44;30,53
59;20;181,0;88,0;13,03;31,22
60;20;182,0;75,0;13,01;32,20
61;22;180,5;69,5;13,46;30,51
62;21;187,0;73,0;13,45;30,00
63;20;184,0;85,5;13,16;31,69
64;20;192,5;92,5;13,16;31,77
65;20;184,0;84,5;13,33;30,95
66;21;191,8;73,0;13,30;30,72
67;21;192,5;76,5;13,09;32,23
68;20;179,5;85,0;13,26;30,69
69;21;190,0;80,5;13,14;31,41
70;21;178,0;68,5;13,16;32,03
71;21;174,5;66,0;13,25;31,33
72;20;193,0;77,0;13,34;30,64
73;20;179,0;81,0;13,35;31,28
74;20;168,5;71,0;13,35;30,85
75;20;189,5;75,0;13,32;31,63
76;21;172,5;77,5;13,91;29,44
77;22;183,0;76,5;13,64;30,51
78;20;178,0;71,0;13,64;30,41
79;20;187,5;76,5;13,56;30,20
80;20;173,7;68,4;13,91;29,01
81;19;176,0;65,0;13,57;30,15
82;20;182,5;71,0;13,84;29,27
83;22;188,0;88,5;13,62;30,35
84;19;171,0;67,0;13,51;30,35
85;21;178,5;73,5;13,76;29,90
86;19;186,5;78,5;13,52;30,51
87;21;184,0;83,0;13,58;30,48
88;20;176,5;74,0;13,59;30,77
89;21;181,5;74,5;13,92;29,53
90;28;182,5;79,0;13,59;30,51
91;20;182,4;77,4;13,72;29,44
92;21;181,0;72,0;13,55;30,41
93;20;175,5;84,5;14,26;28,87
94;21;191,5;89,5;14,14;28,78
95;23;194,5;98,2;14,11;29,29
96;20;176,5;68,5;14,35;28,69
97;20;171,0;63,0;13,77;29,85
98;20;186,5;82,5;14,12;29,61
99;21;180,0;76,0;14,17;29,73
100;21;181,0;77,0;14,22;29,56
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
