ENTITETI;VISI;TEZI;DALJM;DALJZ;SPRINT;LOPTA
1;154;39,50;190;360;9,30;26,30
2;165;50,00;175;340;9,10;18,10
3;152;49,50;168;310;9,96;30,00
4;158;41,00;195;310;10,39;20,50
5;151;43,50;182;300;10,36;22,20
6;168;54,00;200;345;9,74;22,30
7;166;50,00;195;380;9,46;27,00
8;149;36,50;177;360;9,91;19,10
9;166;55,50;189;370;9,29;26,30
10;155;45,50;169;310;9,49;25,40
11;138;28,00;205;320;10,12;17,40
12;135;31,00;163;330;10,45;21,70
13;145;31,00;185;330;9,76;16,10
14;161;53,00;183;340;9,30;25,40
15;164;49,50;212;380;8,89;32,70
16;147;40,00;135;270;10,70;17,10
17;152;43,00;208;340;9,21;22,30
18;142;33,00;178;340;10,22;22,20
19;159;45,00;187;350;10,82;12,70
20;151;36,00;169;300;10,85;13,00
21;166;50,00;177;320;9,67;25,30
22;162;50,00;191;330;9,37;19,50
23;169;45,50;201;400;9,83;23,20
24;153;40,00;183;295;10,71;14,90
25;151;35,00;187;360;9,87;26,30
26;157;45,00;185;330;9,46;20,10
27;154;50,00;199;370;10,10;12,50
28;145;35,00;155;270;10,73;17,80
29;142;33,00;143;270;10,73;15,70
30;128;25,50;145;260;12,81;12,50
31;127;24,50;138;200;12,41;12,10
32;143;34,50;177;270;9,72;24,90
33;153;39,50;182;370;9,73;25,50
34;157;49,00;187;280;9,12;20,70
35;159;47,00;218;390;9,13;25,30
36;152;41,50;217;380;8,58;20,70
37;161;57,50;175;260;10,05;15,60
38;138;36,00;185;360;9,57;16,30
39;134;29,00;183;340;10,28;20,50
40;152;38,00;170;270;10,07;24,00
41;168;52,50;203;360;9,11;24,80
42;167;60,50;190;390;9,19;36,60
43;148;54,00;167;280;11,15;24,50
44;152;43,50;194;360;9,55;20,00
45;152;43,00;171;310;10,86;23,20
46;156;39,00;187;310;9,66;21,10
47;149;37,50;169;330;9,59;24,80
48;166;55,50;185;360;9,34;25,50
49;153;48,50;157;300;11,12;31,60
50;139;38,00;135;300;11,45;12,50
51;145;38,00;151;240;9,88;19,90
52;162;58,50;178;310;10,13;21,00
53;156;46,50;195;385;8,30;39,80
54;145;33,50;153;275;11,35;9,80
55;159;51,50;179;340;9,37;24,80
56;157;52,50;208;400;8,80;27,50
57;146;34,50;168;290;10,47;18,60
58;149;33,00;204;255;10,32;23,80
59;150;37,50;173;221;10,88;16,30
60;153;43,00;198;260;8,80;9,50
61;144;30,00;185;260;10,10;17,80
62;163;57,00;190;290;10,37;10,20
63;155;41,50;205;318;9,57;21,10
64;156;45,00;180;263;10,57;20,50
65;150;35,00;198;315;10,20;15,30
66;161;52,00;167;250;9,71;13,00
67;169;62,00;204;287;9,05;21,90
68;151;33,00;180;295;10,71;17,20
69;149;41,00;173;258;10,65;20,40
70;128;27,50;140;205;12,51;12,50
71;166;51,00;222;350;8,89;28,30
72;157;56,50;180;210;9,54;18,00
73;163;53,00;210;315;9,04;21,20
74;167;58,00;223;350;8,82;31,90
75;146;41,50;193;255;10,26;21,20
76;133;32,00;138;245;11,60;7,70
77;141;34,00;200;348;8,88;25,20
78;154;41,50;173;265;8,90;21,50
79;163;42,50;203;343;9,56;29,60
80;159;44,50;181;285;9,27;20,70
81;168;47,00;183;285;9,90;14,80
82;136;27,50;176;210;10,82;13,80
83;168;62,00;182;340;9,24;27,70
84;153;46,00;190;290;9,10;31,20
85;148;38,00;190;310;9,71;18,10
86;159;65,00;155;198;12,17;10,50
87;150;43,50;185;270;9,87;18,60
88;163;60,50;210;285;9,42;17,10
89;162;56,00;200;325;9,67;19,10
90;160;42,50;218;338;8,67;19,00
91;160;48,50;205;300;9,13;25,40
92;167;58,00;210;328;9,36;30,40
93;158;42,00;203;283;9,88;17,70
94;162;48,00;190;239;10,66;17,40
95;158;42,50;200;267;10,36;21,70
96;164;58,00;200;255;10,25;19,40
97;150;43,00;180;285;11,11;17,20
98;152;39,50;205;315;9,67;14,30
99;146;38,00;178;269;11,52;17,60
100;135;28,00;150;180;10,82;7,50
