ENTITETI;ISHOD;BIBL;BOTK;LEPK;LIPK;OTK;PP;PR;PUB;SLB;UR;OA
1;POB;1;14;8;16;14;1;14;4;9;0;18
2;POR;2;28;9;17;10;0;1;3;13;1;26
3;POR;3;11;5;25;16;1;13;3;6;0;12
4;POB;3;14;7;22;10;1;10;6;11;2;8
5;POR;1;11;13;18;5;1;17;4;12;1;16
6;POB;2;13;4;11;10;0;19;2;3;1;18
7;POR;1;22;5;17;12;1;5;2;16;1;32
8;POB;2;14;5;20;9;2;14;1;21;1;25
9;POB;1;7;10;16;8;2;7;2;10;0;25
10;POR;4;8;5;16;13;0;5;4;9;3;22
11;POR;2;20;2;17;7;0;11;5;6;0;29
12;POB;1;15;6;11;15;1;9;3;6;0;29
13;POB;2;10;7;19;6;0;29;5;11;0;23
14;POR;0;10;0;16;8;0;32;0;10;0;23
15;POR;0;19;7;23;5;1;12;3;7;1;18
16;POB;3;8;7;18;11;1;14;5;13;2;26
17;POR;0;19;3;16;15;0;8;3;13;0;24
18;POB;1;24;2;8;13;0;14;2;5;0;23
19;POB;3;10;3;23;5;2;13;0;9;2;15
20;POR;3;10;3;13;7;5;13;4;12;2;24
21;POB;4;15;6;23;7;1;18;3;12;0;21
22;POR;5;13;9;22;10;3;9;3;8;0;13
23;POR;2;15;8;17;7;1;14;6;10;2;24
24;POB;4;18;6;27;4;0;10;4;9;0;21
25;POB;1;10;9;25;17;3;10;7;12;1;10
26;POR;2;12;4;36;10;2;7;4;11;0;11
27;POR;2;26;5;24;3;1;16;3;9;1;17
28;POB;1;15;9;26;11;2;9;2;8;0;14
29;POR;3;22;0;27;15;0;18;2;5;0;7
30;POB;1;13;6;24;12;1;20;1;11;0;5
31;POR;1;8;2;29;6;3;21;1;9;3;21
32;POB;2;9;8;12;16;0;12;5;11;1;32
33;POB;0;11;4;25;4;1;22;0;10;0;16
34;POR;3;12;8;7;7;3;20;3;10;0;20
35;POB;0;12;2;26;13;1;8;5;9;0;28
36;POR;1;13;6;16;11;1;19;5;6;0;22
37;POB;0;24;3;13;14;1;7;1;14;0;25
38;POR;0;8;10;18;15;1;12;3;14;0;26
39;POR;2;13;17;19;11;0;9;3;12;0;18
40;POB;3;19;6;16;12;0;12;2;10;0;20
41;POB;0;19;4;16;13;0;9;1;6;0;23
42;POR;6;12;3;21;8;0;10;4;7;1;21
43;POB;1;23;15;17;7;1;17;4;11;0;29
44;POR;1;23;5;20;9;2;24;0;18;0;20
45;POR;0;14;8;15;18;0;15;2;5;0;13
46;POB;1;22;4;14;18;0;10;4;14;0;14
47;POR;3;13;9;17;9;1;18;3;6;1;15
48;POB;2;15;4;17;14;2;9;0;13;1;18
49;POB;0;15;5;11;9;0;20;0;19;3;20
50;POR;3;13;3;18;8;1;11;6;10;1;29
51;POB;2;11;3;24;20;2;15;3;3;1;11
52;POR;2;12;5;16;12;1;20;1;10;4;10
53;POB;6;10;9;16;20;0;11;4;11;1;19
54;POR;5;14;0;21;16;0;19;0;9;0;15
55;POB;2;16;2;13;15;2;13;1;9;1;36
56;POR;0;8;4;17;16;2;18;1;14;2;29
57;POB;1;22;3;9;21;2;9;4;14;1;24
58;POR;1;16;5;24;8;1;8;5;8;0;22
59;POR;2;15;4;25;16;0;14;2;5;0;11
60;POB;2;15;6;20;15;3;13;2;9;2;13
