ENTITETI;VISI;TEZI;OBPO;NABN;TAPI;POLI;SDAL;POTR;PRRA;IZVI;TR6M
1;176;60;24;8;35;25;160;21;81;21;1072
2;160;48;21;7;44;13;205;44;93;48;1134
3;170;66;22;12;36;23;160;28;80;15;1065
4;165;66;23;12;42;28;155;26;75;18;1048
5;166;65;22;16;33;29;155;21;60;16;868
6;165;60;21;10;35;22;160;28;70;20;1026
7;160;56;24;18;38;21;165;30;78;35;1128
8;153;52;23;7;35;22;170;38;72;56;1051
9;155;48;21;4;37;21;170;35;74;32;1063
10;171;59;24;11;37;21;180;39;73;27;972
11;173;60;21;14;29;32;135;22;58;8;831
12;155;53;23;16;41;26;165;33;64;30;895
13;162;52;23;10;31;21;165;34;76;31;1022
14;172;66;24;14;40;21;160;32;78;11;975
15;163;53;21;9;27;24;170;39;72;7;1042
16;165;55;23;9;37;19;195;39;79;13;1330
17;160;45;21;6;37;16;200;39;74;46;1233
18;161;50;23;10;39;17;185;39;72;9;1194
19;160;49;20;9;34;20;160;36;78;8;954
20;173;60;22;11;36;21;165;38;80;45;1020
21;171;62;22;11;31;22;180;26;82;30;1118
22;175;70;23;17;35;44;160;32;86;0;811
23;172;52;22;13;30;22;175;36;84;11;856
24;160;64;23;18;30;20;140;30;68;4;798
25;160;58;21;8;29;22;165;25;74;14;1180
26;157;49;22;12;29;12;190;40;85;30;1250
27;169;54;22;12;27;12;200;40;80;64;1320
28;159;58;24;21;34;12;195;48;70;26;910
29;165;53;24;9;25;13;210;29;65;18;1280
30;160;42;20;21;26;12;165;27;61;31;890
31;162;51;22;11;27;13;170;33;75;21;1150
32;171;53;22;17;26;18;185;31;80;24;1000
33;164;53;23;21;29;16;185;35;83;41;260
34;165;62;24;17;17;15;180;35;80;18;1080
35;181;54;22;14;27;18;175;25;85;12;960
36;163;46;21;9;30;14;180;35;75;48;1300
37;162;50;22;11;34;13;180;35;74;39;1420
38;179;57;23;8;34;14;210;45;92;45;1350
39;168;65;24;18;24;12;185;38;85;15;930
40;172;46;26;7;29;12;185;33;76;35;1200
41;167;60;23;15;33;13;190;34;70;45;1120
42;164;47;22;12;32;11;200;35;70;15;1180
43;163;66;24;21;27;16;150;21;80;3;812
44;166;53;22;9;27;14;230;40;65;49;1282
45;173;57;23;12;31;14;195;37;75;38;1100
46;171;63;23;13;29;12;165;34;85;40;1080
47;175;55;22;9;28;13;180;35;105;31;1210
48;160;49;22;12;35;13;185;35;70;41;1120
49;168;57;22;15;30;15;150;19;70;15;1015
50;169;52;22;10;24;14;190;29;90;70;1098
51;156;49;22;16;32;12;175;35;80;17;980
52;166;51;22;13;29;10;155;29;75;28;1290
53;162;50;22;13;31;12;195;36;82;26;1350
54;157;47;22;19;27;16;185;30;82;23;1011
55;166;60;23;18;28;15;210;25;82;46;1100
56;169;60;24;15;27;13;175;29;77;17;1150
57;157;59;24;18;27;13;160;29;65;26;1092
58;175;62;24;12;29;17;150;29;72;30;1300
59;168;49;23;12;19;12;230;41;80;62;1250
60;171;55;23;13;31;12;135;33;92;35;1280
61;167;45;23;8;34;10;195;44;75;37;1356
62;163;50;22;11;28;16;175;37;65;48;1211
63;168;56;24;14;32;16;200;35;87;38;1130
64;171;59;20;7;32;9;180;34;100;47;1518
65;168;56;21;8;36;11;100;38;90;34;1412
66;175;61;21;8;35;9;170;34;90;14;1311
67;166;52;22;9;34;9;180;37;85;54;1419
68;154;61;23;12;36;10;165;39;110;20;1216
69;168;52;22;6;40;9;190;51;100;82;1563
70;173;59;21;7;34;10;200;38;95;41;1360
71;172;51;20;7;32;10;180;41;90;41;1316
72;168;64;23;8;28;10;155;39;110;14;1312
73;170;58;22;9;31;11;183;38;85;31;1316
74;170;59;24;10;33;9;188;40;87;52;1514
75;173;57;22;8;35;9;183;45;100;28;1434
76;161;43;21;9;37;11;164;21;94;43;1418
77;169;51;23;11;32;12;175;34;90;31;1425
78;153;44;20;9;41;12;165;31;117;48;1402
79;159;51;23;11;39;11;170;39;92;38;1380
80;168;60;21;8;32;8;212;44;94;31;1445
81;159;48;22;13;21;7;205;35;91;49;1423
82;158;49;22;11;38;8;190;36;85;38;1412
83;163;65;22;11;33;9;190;32;95;67;1416
84;151;38;20;7;30;11;170;24;80;69;1343
85;164;53;21;6;42;9;175;29;105;26;1312
86;160;52;22;5;38;8;210;44;90;84;1645
87;174;59;21;7;32;12;205;38;90;38;1364
88;168;68;24;9;30;11;180;41;93;33;916
89;159;53;23;8;34;8;205;40;90;61;1418
90;173;62;20;9;29;9;190;46;98;68;1514
91;164;58;22;11;30;12;170;34;80;24;1312
92;153;45;20;10;34;9;200;41;94;41;1463
93;157;47;21;9;39;9;180;38;90;69;1473
94;162;58;22;9;30;9;200;42;95;26;1513
95;166;87;25;12;38;10;180;30;110;5;1316
96;155;49;21;9;30;13;155;33;85;32;1216
97;155;54;23;10;31;11;175;36;80;37;1496
98;174;52;22;8;30;10;200;38;90;30;1364
99;161;59;22;8;29;10;175;36;90;43;1513
100;165;53;21;8;34;9;190;42;100;47;1521
