ENTITETI;KRAJ;RAZRED;SPOL;ATV;ATT;AOP;ANN;MKUS;MPOL;MP20;MPRR;MTAP;MSDM;MDTR;MVIS
1;Gore;I;Z;127;26,2;18;6;145;167;90;56;20;134;26;38
2;Gore;I;Z;122,5;22;17;10;155;355;82;34;17;112;11;20
3;Gore;I;Z;122;20,5;17;8;177;302;90;33;19;116;24;28
4;Gore;I;Z;120;21;17,2;9;163;283;55;32;15;108;23;37
5;Gore;I;Z;127;26,1;19,6;10;252;241;15;48;14;106;26;14
6;Gore;I;Z;122;21;16,6;8;184;405;88;20;15;192;25;24
7;Gore;I;Z;128;24,5;17,4;10;196;232;35;50;20;111;20;36
8;Gore;I;Z;126;27;19,2;10;163;276;51;47;17;102;20;51
9;Gore;I;Z;133;32;19,8;13;166;360;27;47;12;113;19;34
10;Gore;I;Z;125;24,3;18,6;11;151;396;90;36;17;113;22;46
11;Gore;I;M;124;26;19;10;201;271;90;46;14;94;28;13
12;Gore;I;M;130;27,5;19,1;13;158;210;11;32;15;102;17;9
13;Gore;I;M;132,5;27;18,5;11;220;346;55;37;17;86;25;12
14;Gore;I;M;126;22,1;17,8;5;178;310;16;26;18;122;28;13
15;Gore;I;M;133;28,5;20;6;212;214;90;46;24;127;21;31
16;Gore;I;M;125;23,8;17,2;10;156;265;35;28;20;108;23;16
17;Gore;I;M;122;24,3;18,6;8;184;282;56;41;16;96;28;19
18;Gore;I;M;121;22,7;18,1;7;170;230;46;45;14;122;18;11
19;Gore;I;M;122;26,8;19,3;13;193;346;64;29;14;91;24;7
20;Gore;I;M;125;22,5;17,8;11;216;351;47;30;15;86;27;7
21;Gore;II;Z;117;21;17,2;9;140;211;39;37;19;112;33;20
22;Gore;II;Z;144,5;39,5;20,5;12;152;277;12;60;19;111;28;4
23;Gore;II;Z;135;28;18,6;18;152;270;35;61;25;130;25;19
24;Gore;II;Z;117,5;22;18;10;153;205;90;78;32;95;17;11
25;Gore;II;Z;135;27;17,6;8;148;190;37;63;23;135;30;29
26;Gore;II;Z;133,5;24,5;17,2;17;142;260;80;62;21;115;19;19
27;Gore;II;Z;122,5;26;18;17;172;235;90;56;22;105;25;25
28;Gore;II;Z;122,5;27;17,6;16;160;400;57;52;20;80;12;3
29;Gore;II;Z;120;22,5;17,2;13;180;375;24;55;34;95;0;10
30;Gore;II;Z;117,5;18,6;16,3;12;142;220;54;53;19;80;22;15
31;Gore;II;M;123;23,5;17,8;7;164;260;41;58;25;141;33;53
32;Gore;II;M;130;27;19,5;7;137;140;90;57;24;143;43;49
33;Gore;II;M;138;33;19,8;11;185;235;42;55;19;95;31;42
34;Gore;II;M;136;35;21,5;11;300;210;75;57;20;199;32;11
35;Gore;II;M;131;30;20;11;158;190;6;60;21;130;37;58
36;Gore;II;M;126,5;26;18,1;10;145;190;34;57;26;135;35;23
37;Gore;II;M;134;34;20,5;15;165;224;37;65;20;133;37;17
38;Gore;II;M;126;25;18;7;156;206;45;48;22;112;26;27
39;Gore;II;M;124,5;24;19;10;133;150;90;52;19;120;31;34
40;Gore;II;M;138,5;31;18,8;10;186;210;23;55;21;120;27;37
41;Gore;III;Z;131;27,5;20;17;165;160;15;80;25;85;37;4
42;Gore;III;Z;134;30;20;20;142;180;90;80;19;95;24;4
43;Gore;III;Z;135;33;20;18;151;175;74;80;25;80;19;27
44;Gore;III;Z;141;32,5;19,5;14;150;165;31;80;18;80;12;7
45;Gore;III;Z;142;28;19;11;157;221;90;80;23;65;22;6
46;Gore;III;Z;138;30;20,8;19;174;240;59;49;19;104;16;4
47;Gore;III;Z;131,5;26;19,2;10;124;120;90;80;22;110;27;42
48;Gore;III;Z;128,5;27,5;19,6;7;183;210;90;80;20;80;27;11
49;Gore;III;Z;137;34,5;20,1;21;166;260;90;80;19;70;27;0
50;Gore;III;Z;122,5;27,5;19,5;11;134;146;90;80;21;110;33;25
51;Gore;III;M;134,5;29;19,2;7;121;100;90;80;22;125;39;52
52;Gore;III;M;134;29,5;20;12;151;155;90;80;25;80;31;40
53;Gore;III;M;131,5;23;20,1;18;154;160;57;80;29;110;42;30
54;Gore;III;M;131,5;30,5;19;9;145;130;27;80;26;120;29;19
55;Gore;III;M;136,5;25,5;18,9;6;160;200;83;80;24;75;27;6
56;Gore;III;M;138,5;33;20;12;125;129;31;80;22;120;34;16
57;Gore;III;M;134;32;20;12;140;120;87;80;19;115;35;52
58;Gore;III;M;134;25;18;6;210;120;83;80;26;114;30;14
59;Gore;III;M;138,5;36;21;15;143;120;90;80;22;105;28;52
60;Gore;III;M;133;24;17,4;9;189;190;11;80;18;65;21;20
61;Gore;IV;Z;144;36,5;19,8;14;158;201;60;60;20;140;26;9
62;Gore;IV;Z;142;32,5;19,2;10;139;185;90;79;25;138;30;32
63;Gore;IV;Z;148;37;19,7;12;144;230;90;75;24;138;24;16
64;Gore;IV;Z;153;42,5;20,6;12;144;163;90;60;22;151;30;9
65;Gore;IV;Z;135,5;26;17,1;11;143;208;90;62;23;120;31;30
66;Gore;IV;Z;154,5;65,5;24;22;144;420;30;72;24;100;17;0
67;Gore;IV;Z;146;48;22,7;23;156;335;46;66;22;112;23;0
68;Gore;IV;Z;135;27;17,5;14;141;147;90;60;22;126;31;28
69;Gore;IV;Z;152;35,5;20;10;137;153;15;78;26;120;28;17
70;Gore;IV;Z;130;26;17,6;9;160;140;90;65;22;124;30;19
71;Gore;IV;M;149;33,5;19,6;8;132;136;90;75;24;173;36;31
72;Gore;IV;M;134;34,5;20,7;13;149;145;90;71;23;126;40;22
73;Gore;IV;M;147;33;20,5;13;145;200;90;74;20;126;35;30
74;Gore;IV;M;141;36,5;20,5;14;117;131;90;77;28;170;37;47
75;Gore;IV;M;134,5;24,5;17,3;6;133;128;25;71;21;153;38;50
76;Gore;IV;M;128;27,5;18,5;9;143;124;90;76;22;166;32;37
77;Gore;IV;M;144;35;21;11;129;153;90;74;25;166;34;24
78;Gore;IV;M;139;30,5;18,4;7;138;142;84;62;24;152;38;37
79;Gore;IV;M;137;38;20,8;16;134;159;90;65;25;146;33;14
80;Gore;IV;M;139;32,5;19,5;6;138;175;90;65;24;144;32;29
81;Gore;I;Z;128;28;19;12;200;406;90;40;15;65;25;10
82;Gore;I;Z;131,5;27;18;12;258;458;90;34;13;100;25;3
